org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Collins+German+3000+words+and+phrases

	das wesentliche | the essentials
der Bikini | bikini | бікіні
der Eimer und die Schaufel | bucket and spade | відро і лопата
der Liegestuhl | deckchair | шезлонг
die Flip-Flops; mpl | flip-flops | шльопанці
die Flossen; fpl | flippers | ласти
die Promenade | promenade | набережна
die Sandburg | sandcastle | піщаний замок
die Muscheln; fpl | seashells | мідії
der Seetang | seaweed | водорості
der Schnorchel | snorkel | трубка
die Sonnenbrille | sunglasses | сонцезахисні окуляри
der Sonnenhut | sunhat | сонячний капелюх
die Sonnencreme | suntan lotion | сонцезахисний крем
die Badehose | swimming trunks | плавки
der Badeanzug | swimsuit | купальник
der Windschutz | windbreak | захист від вітру

		musik | music
musik | music | музика

der DJ | DJ | діджей
die CD | CD | компакт-диск
die Schallplatte | vinyl record | запис
das Mikrofon | microphone | мікрофон
das Lied | song | пісня
das Album | album | альбом
der SingerSongwriter | singer / songwriter | співак / пісняр
die SingerSongwriterin | singer / songwriter | співак / пісняр
die Band | band | група
die Livemusik | live music | жива музика
der Gig | gig | концерт
der Pop | pop | поп
die Folkmusik | folk music | народна музика
der Rock | rock | рок
der Hip-Hop | hip-hop | хіп-хоп
musik | music | музика
der Rap | rap | реп
klassisch | classical | класичний
ein Instrument spielen | to play an instrument | грати на інструменті
singen | to sing | співати
Musik hören | to listen to music | слухати музику
auf Konzerte gehen | to go to gigs | ходити на концерти

der Bluetooth®-Lautsprecher | Bluetooth® speaker | динамік Bluetooth
die Ohrhörer; mpl | earphones | навушники
die Kopfhörer; pl | headphones | навушники
die Soundbar | soundbar | звукова панель
die Lautsprecher; mpl | speakers | колонки
der Plattenspieler | turntable | програвач

das Akkordeon | accordion | акордеон
die Akustikgitarre | acoustic guitar | акустична гітара
die große Trommel | bass drum | бас-барабан
der E-Bass | bass guitar | бас-гітара
das Cello | cello | віолончель
die Klarinette | clarinet | кларнет
das Becken | cymbals | цимбали
der Kontrabass | double bass | контрабас
die E-Gitarre | electric guitar | електрогітара
die Flöte | flute | флейта
die Harfe | harp | арфа
das Keyboard | keyboard | клавіатура
die Mundharmonika | mouth organ | гармоніка
das Klavier | piano | фортепіано
das Saxophon | saxophone | саксофон
die kleine Trommel | snare drum | малий барабан
die Posaune | trombone | тромбон
die Trompete | trumpet | труба
die Tuba | tuba | туба
die Geige | violin | скрипка
das Xylophon | xylophone | ксилофон

der Chor | choir | хор
der Dirigent | conductor | диригент
die Dirigentin | conductor | диригент
der Musiker | musician | музикант
die Musikerin | musician | музикант
das Orchester | orchestra | оркестр
die Noten; fpl | sheet music | ноти
der Sänger | singer | співак / співачка
die Sängerin | singer | співак / співачка

		fotografie | photography
fotografie | photography | фотографія
das Foto | photo | фотографія
der Fotograf | photographer | фотограф
die Fotografin | photographer | фотограф
das Selfie | selfie | селфі
der Selfie-Stick | selfie stick | палка для селфі
ein Foto / Selfie machen | to take a photo / selfie | зробити фото / селфі
heranzoomen | to zoom in | збільшувати
das Objektiv | camera lens | об'єктив камери
die Kompaktkamera | compact camera | компактна камера
die Drohne | drone | дрон
die DSLR-Kamera | DSLR camera | камера DSLR
die SD-Speicherkarte | SD card | карта пам’яті
das Stativ | tripod | штатив

		spiele | games
spiele | games | ігри

der Spieler | player | гравець
die Spielerin | player | гравець
das Versteckspiel | hide and seek | гра в хованки
das Kreuzworträtsel | crossword | кросворд
die Patience | solitaire | пасьянс
das Poker | poker | покер
das Blatt | hand (in cards) | рука (в картах)
die Spielekonsole | games console | ігрова приставка
das Videospiel | video game | відеогра
spielen | to play | грати
würfeln | to roll the dice | кинути кістки
gewinnen | to win | виграти
verlieren | to lose | втрачати
das Backgammon | backgammon | нарди
das Brettspiel | board game | настільна гра
das Bowling | bowling | боулінг
die Karten; fpl | cards | карти
das Schachspiel | chess | шахи
die Spielsteine; mpl | counters | ігрові фігури
die Darts | darts | дартс
der Würfel | dice | гра в кості
das Dominospiel | dominoes | гра в доміно
das Damespiel | draughts | шашки
das Puzzle | jigsaw puzzle | головоломка
das Kegelspiel | skittles | боулінг

		kunsthandwerk | arts and crafts
kunsthandwerk | arts and crafts | мистецтво і ремесла

das Kunsthandwerk | handicrafts | ремесло
der Kunsthandwerksmarkt | craft fair | ярмарок ремесел
der Künstler | artist | артист
die Künstlerin | artist | артист
der Amateur | amateur | любитель
die Amateurin | amateur | любитель
der Schneider | dressmaker | кравець / кравчиня
die Schneiderin | dressmaker | кравець / кравчиня
malen | to paint | малювати
skizzieren | to sketch | ескіз
nähen | to sew | шити
stricken | to knit | в'язати
kreativ sein | to be creative | бути креативним

die Stickerei | embroidery | вишивка
die Schmuckherstellung | jewellery-making | виготовлення ювелірних виробів
der Modellbau | model-making | моделювання
die Papierbastelei | papercrafts | вироби з паперу
die Töpferei | pottery | кераміка
die Holzarbeit | woodwork | вироби з дерева

die Leinwand | canvas | полотно
die Staffelei | easel | мольберт
die Tinte | ink | чорнило
die Ölfarbe | oil paint | олійна фарба
der Pinsel | paintbrush | кисть
die Palette | palette | палітра
das Papier | paper | папір
die Pastellfarben; fpl | pastels | пастельні тони
der Kugelschreiber | pen | кулькова ручка
der Bleistift | pencil | олівець
der Skizzenblock | sketchpad | етюдник
die Wasserfarben; fpl | watercolours | акварелі

der Knäuel | ball of wool | клубок вовни
die Knöpfe; mpl | buttons | ґудзики
die Häkelnadel | crochet hook | гачок для в'язання
der Stoff | fabric | тканина
die Stoffschere | fabric scissors | ножиці для тканини
die Stricknadeln; fpl | knitting needles | спиці для в'язання
die Nadel und der Faden | needle and thread | голка і нитка
die Stecknadeln; fpl | pins | шпильки
die Sicherheitsnadel | safety pin | безпечна шпилька
der Nähkorb | sewing basket | кошик для шиття
die Nähmaschine | sewing machine | швейна машина
das Maßband | tape measure | рулетка; сантиметр

	der sport | sport
der sport | sport | спорт

der Mittelkreis | centre circle | середнє коло

		das wesentliche | the basics

das Turnier | tournament | турнір
der Wettbewerb | competition | змагання
die Meisterschaft | league | чемпіонат
der Meister | champion | чемпіон
die Meisterin | champion | чемпіон
der Mannschaftskamerad | teammate | товариш по команді
die Mannschaftskameradin | teammate | товариш по команді
der Teilnehmer | competitor | учасник
die Teilnehmerin | competitor | учасник
der Trainer | coach | тренер
die Trainerin | coach | тренер
der Cheftrainer | manager | головний тренер
die Cheftrainerin | manager | головний тренер
das Spiel | match | гра
die Punkte; mpl | points | бали
trainieren | to coach | тренувати
teilnehmen | to compete | брати участь
Punkte erzielen | to score | заробляти очки
gewinnen | to win | виграти
verlieren | to lose | втрачати
unentschieden spielen | to draw | зіграти внічию
das Freizeitzentrum | leisure centre | центр дозвілля
die Medaille | medal | медаль
der Offizielle | official | службовець; чиновник
die Offizielle | official | службовець; чиновник
das Podium | podium | подіум
der Schiedsrichter | referee | рефері
die Schiedsrichterin | referee | рефері
die Anzeigetafel | scoreboard | табло
die Zuschauer; mpl | spectators | глядачі
der Sportler | sportsperson | спортсмен
die Sportlerin | sportsperson | спортсмен
das Stadion | stadium | стадіон
die Tribüne | stands | трибуна
die Mannschaft | team | команда
die Trophäe | trophy | трофей

		fitness | wellbeing
fitness | wellbeing | фітнес

das Fitnessstudio | gym | тренажерний зал
der Fitnesstrainer | gym instructor | фітнес-тренер
die Fitnesstrainerin | gym instructor | фітнес-тренер
die Mitgliedschaft im Fitnessstudio | gym membership | абонемент у спортзал
der Personal Trainer | personal trainer | особистий тренер
der Fitnesskurs | exercise class | курс фітнесу
das Pilates | Pilates | пілатес
das Yoga | yoga | йога
die Liegestütze; mpl | press-ups | віджимання
die Sit-ups; mpl | sit-ups | присідання
das Gehen | walking | прогулянка
das Laufen | running | біг
der Laufklub | running club | біговий клуб
Sport treiben | to exercise | займатися спортом
fit bleiben | to keep fit | залишатися у формі
laufen gehen | to go for a run | вийти на прогулянку
ins Fitnessstudio gehen | to go to the gym | ходити в тренажерний зал

der Umkleideraum | changing room | роздягальня
der Crosstrainer | cross trainer | крос-тренажер
die Hantel | dumbbell | штанга
der Heimtrainer | exercise bike | велотренажер
der Gymnastikball | gym ball | м'яч для вправ
die Kettlebell | kettle bell | гиря
der Spind | locker | шафка
das Rudergerät | rowing machine | гребний тренажер
der Duschraum | showers | душова кімната
das Springseil | skipping rope | скакалка
das Laufband | treadmill | бігова доріжка
die Hantelbank | weightlifting bench | вагова лава

		fußball | football
fußball | football | футбол

der Abwehrspieler | defender | захисник
die Abwehrspielerin | defender | захисник
der Stürmer | striker | нападаючий
die Stürmerin | striker | нападаючий
der Ersatzspieler | substitute | запасний гравець
die Ersatzspielerin | substitute | запасний гравець
der Anstoß | kick-off | поштовх
die Halbzeit | half-time | тайм
die reguläre Spielzeit | full-time | звичайний час гри
die Verlängerung | extra time | додатковий час
die Nachspielzeit | injury time | час травми
der Freistoß | free kick | вільний удар
der Kopfball | header | заголовок
die Abwehr | save | захист
das Foul | foul | фол
das Abseits | offside | офсайд
der Strafstoß | penalty kick | пенальті
der Strafraum | penalty box | штрафний майданчик
Fußball spielen | to play football | грати в футбол
kicken | to kick | удар ногою
angreifen | to tackle | нападати
den Ball abgeben | to pass the ball | передати м'яч
ein Tor schießen | to score a goal | забити гол
der Schiedrichterassistent | assistant referee | помічник арбітра
die Schiedrichterassistentin | assistant referee | помічник арбітра
der Fußball | football | футбол
die Fußballschuhe; mpl | football boots | футбольні бутси
das Fußballspiel | football match | футбольна гра
das Spielfeld | football pitch | ігрове поле
der Fußballspieler | football player | футболіст
die Fußballspielerin | football player | футболіст
das Tor | goal | ворота
der Torwart | goalkeeper | воротар
die Torwartin | goalkeeper | воротар
die Torwarthandschuhe; mpl | goalkeeper's gloves | воротарські рукавички
die Schienbeinschützer; mpl | shin pads | щитки для гомілок
die Pfeife | whistle | свисток
die gelbe / rote Karte | yellow / red card | жовта / червона картка

		eishockey | ice hockey
eishockey | ice hockey | хокей

die blaue Linie | blue line | синя лінія
die Bande | boards | лід
der Check | check | перевірка
der Abschlag | face-off | трійник
die Eiszeit | ice time | період на льоду
das Penaltyschießen | penalty shot | серія пенальті
das Drittel | period | одна третя
das Powerplay | powerplay | силова гра
Eishockey spielen | to play ice hockey | грати в хокей
das Gitter | helmet cage | сітка шолому
der Eishockeyspieler | ice hockey player | хокеїст
die Eishockeyspielerin | ice hockey player | хокеїст
der Eishockeyschläger | ice hockey stick | хокейна ключка
die Fanghandschuhe; mpl | mitts | ловні рукавички
der Puck | puck | шайба
die Schlittschuhe; mpl | skates | ковзани

		basketball | basketball
basketball | basketball | баскетбол
der Korbleger | layup | простой
der Slam Dunk | slam dunk | слем-данк
der Freiwurf | free throw | штрафний кидок
Basketball spielen | to play basketball | грати баскетбол
fangen | to catch | зловити
werfen | to throw | кинути
dribbeln | to dribble | дриблінг
blockieren | to block | блокувати
einen Spieler decken | to mark a player | накривати гравця
der Korb | basket | кошик
der Basketball | basketball | баскетбол
das Basketballfeld | basketball court | баскетбольний майданчик
das Basketball | basketball game | баскетбол
der Basketballspieler | basketball player | баскетболіст
die Basketballspielerin | basketball player | баскетболіст
die Basketballschuhe; mpl | basketball shoes | взуття для баскетболу

		schlägersportarten | racket sports
schlägersportarten | racket sports | ракетковий спорт

das Netz | net | сітка
das Ass | ace | очко
der Aufschlag | serve | подача
die Rückhand | backhand | бекхенд
die Vorhand | forehand | форхенд
der Fehler | fault | помилка
der Ballwechsel | rally | зміна м'яча
Spiel, Satz und Sieg | game, set and match | гра, сет і матч
das Einzel | singles | одинаки
das Doppel | doubles | подвійні
der topgesetzte Spieler | top seed | перший сіяний гравець
die topgesetzte Spielerin | top seed | перший сіяний гравець
Tennis spielen | to play tennis | грати в теніс
Badminton spielen | to play badminton | грати в бадмінтон
schlagen | to hit | удар
Aufschlag haben | to serve | подати
den Break holen | to break someone's serve | отримати перерву

das Badminton | badminton | бадмінтон
der Badmintonschläger | badminton racket | ракетка для бадмінтону
der Federball | shuttlecock | волан

das Squash | squash | сквош
der Squashball | squash ball | м'яч для сквошу
der Squashschläger | squash racket | ракетка для сквошу

der Balljunge | ball boy / girl | подавач м'яча (хлопчик / дівчинка)
das Ballmädchen | ball boy / girl | подавач м'яча (хлопчик / дівчинка)
der Linienrichter | line judge | лінійний суддя
die Linienrichterin | line judge | лінійний суддя
das Tennis | tennis | теніс
der Tennisball | tennis ball | тенісний м'яч
der Tennisplatz | tennis court | тенісний корт
der Tennisspieler | tennis player | тенісистка
die Tennisspielerin | tennis player | тенісистка
der Tennisschläger | tennis racket | тенісна ракетка
der Schiedsrichter | umpire | рефері
die Schiedsrichterin | umpire | рефері
der Hochstuhl | umpire's chair | високий стілець

		wassersport | water sports
wassersport | water sports | водні види спорту

das Schwimmen | swimming | плавання
das Brustschwimmen | breaststroke | брас
das Rückenschwimmen | backstroke | плавання на спині
das Kraulen | front crawl | кроль
der Butterfly | butterfly | батерфляй
die Spur | lane | трек
die Länge | length | довжина
der Schwimmunterricht | swimming lesson | уроки плавання
der Schwimmer | swimmer | плавець
die Schwimmerin | swimmer | плавець
der Taucher | diver | водолаз
die Taucherin | diver | водолаз
das Tauchen | diving | дайвінг
das Angeln | angling | риболовля
der Angler | angler | рибалка
die Anglerin | angler | рибалка
der Surfer | surfer | серфер
die Surferin | surfer | серфер
schwimmen | to swim | плавати
tauchen | to dive | пірнати
surfen | to surf | серфінг
paddeln | to paddle | веслувати
segeln | to sail | вітрильний спорт
fischen | to fish | риболовля

die Schwimmflügel; mpl | armbands | водяні крила
das Sprungbrett | diving board | трамплін
die Flossen; fpl | flippers | ласти
die Schwimmbrille | goggles | окуляри для плавання
der Rettungsschwimmer | lifeguard | рятувальник
die Rettungsschwimmerin | lifeguard | рятувальник
die Bademütze | swimming cap | шапочка для купання
das Schwimmbecken | swimming pool | басейн
die Badehose | swimming trunks | плавки
der Badeanzug | swimsuit | купальник

das Bodyboarding | bodyboarding | бодібординг
das Kanufahren | canoeing | веслування на каное
der Jetski | jet ski | водний мотоцикл
das Kajakfahren | kayaking | каякінг
das Kitesurfen | kitesurfing | кайт-серфінг
die Schwimmweste | lifejacket | рятувальний жилет
das Paddel | paddle | весло
das Paddleboarding | paddleboarding | паддлбординг
das Sporttauchen | scuba diving | підводне плавання
das Schnorcheln | snorkelling | підводне плавання з трубкою
das Surfbrett | surfboard | дошка для серфінгу
das Surfen | surfing | серфінг
das Wasserskilaufen | waterskiing | катання на водних лижах
der Neoprenanzug | wetsuit | гідрокостюм
das Windsurfen | windsurfing | віндсерфінг

		wintersport | winter sports
wintersport | winter sports | зимові види спорту

der Skifahrer | skier | лижник
die Skifahrerin | skier | лижник
das Skigebiet | ski resort | гірськолижний курорт
der Skilift | ski lift | гірськолижний підйомник
der Skilehrer | ski instructor | лижний інструктор
die Skilehrerin | ski instructor | лижний інструктор
die Bergwacht | mountain rescue service | гірська рятувальна служба
der Verbandskasten | first-aid kit | аптечка першої допомоги
der Schnee | snow | сніг
der Pulverschnee | powder | сніжний порошок
das Eis | ice | лід
die Lawine | avalanche | лавина
die Lawinengefahr | avalanche risk | небезпека сходження лавин
skifahren | to ski | кататись на лижах
freeriden | to ski off-piste | кататися поза трасами
snowboarden | to snowboard | сноуборд
bergsteigen | to go mountain climbing | скелелазіння
Schlitten fahren | to go sledging | катання на санях
Schlittschuh laufen | to go ice skating | катання на ковзанах

der Karabiner | carabiner clip | карабін
die Steigeisen; ntpl | crampons | кошики
der Eispickel | ice axe | льодоруб
die Schlittschuhe; mpl | ice skates | ковзани
das Seil | rope | мотузка
der Schlitten | sledge | сани

die Piste | piste | схил
die Skihose | salopettes | лижні штани
die Skischuhe; mpl | ski boots | лижні черевики
die Skihandschuhe; mpl | ski gloves | лижні рукавички
die Skibrille | ski goggles | снігові окуляри
der Skihelm | ski helmet | лижний шолом
die Skijacke | ski jacket | лижна куртка
die Skistöcke; mpl | ski poles | лижні палиці
die Skier; mpl | skis | лижі
der Skianzug | ski suit | лижний костюм
das Snowboard | snowboard | сноуборд
die Snowboardschuhe; mpl | snowboarding boots | черевики для сноуборду

		kampfsportarten | combat sports
kampfsportarten | combat sports | бойові мистецтва

der Kampf | fight | битва
der Boxer | boxer | боксер
die Boxerin | boxer | боксер
der Kämpfer | fighter | боєць
die Kämpferin | fighter | боєць
der Ringkämpfer | wrestler | борець
die Ringkämpferin | wrestler | борець
der Gegner | opponent | суперник
die Gegnerin | opponent | суперник
das Federgewicht | featherweight | напівлегка вага
das Schwergewicht | heavyweight | важка вага
der Punch | punch | удар
der K.-o.-Schlag | knockout | нокаутуючий удар
boxen | to box | бокс
ringen | to wrestle | боротися
schlagen | to punch | бити
kicken | to kick | бити ногою
zuschlagen | to strike | страйк
sparren | to spar | спарингувати
fechten | to fence | обгороджувати
k.o. schlagen | to knock out | вибивати

die Boxhandschuhe; mpl | boxing gloves | боксерські рукавички
der Boxring | boxing ring | боксерський ринг
die Boxschuhe; mpl | boxing shoes | взуття для боксу
der Kopfschutz | headguard | захист голови
der Zahnschutz | mouthguard | капа
der Sandsack | punchbag | мішок з піском

das Fechten | fencing | огорожа
das Judo | judo | дзюдо
das Karate | karate | карате
das Kickboxen | kickboxing | кікбоксинг
das Kung-Fu | kung fu | кунг-фу
das Taekwondo | taekwondo | тхеквондо
der Ringkampf | wrestling | змагання з боротьби

		athletik | athletics
athletik | athletics | легка атлетика

der Läufer | runner | бігун
die Läuferin | runner | бігун
das Rennen | race | гонка
der Marathon | marathon | марафон
der Sprint | sprint | спринт
der Staffellauf | relay | естафета
die Spur | lane | трек
der Durchgang | heat | прохід
das Finale | final | останній
der Fehlstart | false start | фальстарт
die Startlinie | start line | стартова лінія
die Ziellinie | finish line | фінішна пряма
der Dreisprung | triple jump | потрійний стрибок
der Siebenkampf | heptathlon | семиборство
der Zehnkampf | decathlon | десятиборство
der Startschuss | starter's gun | стартовий сигнал
Leichtathletik betreiben | to do athletics | займіться легкою атлетикою
laufen | to run | бігати
Rennen laufen | to race | бігати в перегонах
springen | to jump | стрибати
werfen | to throw | кидати
der Leichtathlet | athlete | легкоатлет
die Leichtathletin | athlete | легкоатлет
der Diskus | discus | диск
der Hochsprung | high jump | стрибок у висоту
die Hürden; fpl | hurdles | перешкоди
der Speer | javelin | спис
der Weitsprung | long jump | стрибок у довжину
der Stabhochsprung | pole vault | стрибки з жердиною
die Rennbahn | running track | іподром
das Kugelstoßen | shot put | штовхання ядра
die Spikes; mpl | spikes | шипи
der Startblock | starting blocks | стартовий блок
die Stoppuhr | stopwatch | секундомір

		golf | golf

der Golfer | golfer | гравець у гольф
die Golferin | golfer | гравець у гольф
der Caddie | caddie | кедді
der Golfplatz | golf course | поле для гольфу
das Fairway | fairway | фарватер
das Grün | green | поле для гольфу
der Sandbunker | bunker | піщаний бункер
das Loch | hole | лунка
das Klubhaus | clubhouse | клубний будинок
das Hole-in-one | hole-in-one | лунка в один удар
golf | golf | гольф
das Birdie | birdie | пташка
über / unter Par | over / under par | понад / нижче пар
Golf spielen | to play golf | грати у гольф
abschlagen | to tee off | вибити
den Ball driven / putten | to drive / putt the ball | загнав / поклав м'яч
die Golftasche | golf bag | сумка для гольфу
der Golfball | golf ball | м'яч для гольфу
der Golf-Buggy | golf buggy | баггі для гольфу
der Golfklub | golf club | гольф-клуб
der Putter | putter | клюшка
das Tee | tee | чай

		andere sportarten | other sports
andere sportarten | other sports | інші види спорту

der American Football | American football | американський футбол
das Bogenschießen | archery | стрільба з лука
das Baseball | baseball | бейсбол
das Klettern | climbing | скелелазіння
das Fischen | fishing | риболовля
die Gymnastik | gymnastics | гімнастика
der Handball | handball | гандбол
das Hockey | hockey | хокей
das Pferderennen | horse racing | скачки
das Schlittschuhlaufen | ice skating | катання на ковзанах
das Motorradrennen | motorcycle racing | гонки на мотоциклі
das Autorennen | motor racing | автомобільні гонки
der Korbball | netball | нетбол
das Poolbillard | pool | пул більярд
das Rugby | rugby | регбі
das Schießen | shooting | стрільба
das Springen | showjumping | стрибки
das Skateboardfahren | skateboarding | катання на скейтборді
das Snooker | snooker | снукер
das Tischtennis | table tennis | настільний теніс
das Bahnradrennen | track cycling | велогонка на треку
der Volleyball | volleyball | волейбол
der Wasserball | water polo | водне поло
das Gewichtheben | weightlifting | важка атлетика

	gesundheit | health
gesundheit | health | здоров'я

		das wesentliche | the basics

der Patient | patient | пацієнт
die Patientin | patient | пацієнт
der Schmerz | pain | біль
die Krankheit | illness | захворювання
die geistige Gesundheit | mental health | психічне здоров'я
das Krankenhaus | hospital | лікарня
die Behandlung | treatment | лікування
die Krankenversicherung | health insurance | медичне страхування
die Sozialversicherungskarte | social security card | картка соціального страхування
gesund | healthy | здоровий
sich erholen | to recover | одужувати
sich um ... kümmern | to look after | піклуватися про
behandeln | to treat | лікувати
der Arzt | doctor | лікар
die Ärztin | doctor | лікар
der Apotheker | pharmacist | фармацевт
die Apothekerin | pharmacist | фармацевт
die Apotheke | pharmacy | аптека

		der körper | the body
der körper | the body | тіло

der Hals | throat | шия
die Achsel | armpit | пахва
die Geschlechtsorgane; ntpl | genitals | статеві органи
die Brust | breast | груди
die Wimper | eyelash | вія
die Augenbraue | eyebrow | брова
das Augenlid | eyelid | повіка
das Ohrläppchen | earlobe | мочка вуха
die Nasenlöcher; ntpl | nostrils | ніздрі
die Lippen; fpl | lips | губи
die Zunge | tongue | язик
die Körperbehaarung | (body) hair | волосся на тілі
die Größe | height | зріст
das Gewicht | weight | вага
der BMI | BMI | індекс маси тіла
das Gehör | sense of hearing | слух
das Sehvermögen | sense of sight | зір
der Geruchssinn | sense of smell | нюх
der Geschmack | sense of taste | смак
der Tastsinn | sense of touch | відчуття дотику
das Gleichgewicht | balance | баланс
sehen | to see | бачити
riechen | to smell | нюхати
hören | to hear | чути
berühren | to touch | торкатися
schmecken | to taste | смакувати
das Gleichgewicht verlieren | to lose one's balance | втратити рівновагу

der Kopf | head | голова
das Gesicht | face | обличчя
der Hals | neck | шия
der Arm | arm | рука
der Brustkorb | chest | груди
der Unterleib | abdomen | живіт
die Hand | hand | рука
der Oberschenkel | thigh | стегно
das Bein | leg | нога
das Knie | knee | коліно
das Schienbein | shin | гомілка
der Fuß | foot | стопа

die Schulter | shoulder | плече
der Ellbogen | elbow | лікоть
der Rücken | back | спина
die Hüfte | hip | стегно
das Gesäß | buttocks | сідниці
die Wade | calf | литка

das Haar | hair | волосся
die Stirn | forehead | лоб
das Auge | eye | око
das Ohr | ear | вухо
die Wange | cheek | щока
die Nase | nose | ніс
der Mund | mouth | рот
der Kiefer | jaw | щелепа
das Kinn | chin | підборіддя

das Handgelenk | wrist | зап'ястя
der Fingerknöchel | knuckle | суглоб пальця
der Fingernagel | fingernail | ніготь
die Handfläche | palm | долоня
der Daumen | thumb | великий палець
der Finger | finger | палець

der große Zeh | big toe | великий палець ноги
der Zehennagel | toenail | ніготь на нозі
der Zeh | toe | палець ноги
die Sohle | sole | підошва
die Ferse | heel | каблук
der Fußknöchel | ankle | щиколотка

		das skelett | the skeleton
das skelett | the skeleton | скелет

das Organ | organ | орган
das Gehirn | brain | мозок
das Herz | heart | серце
die Lunge | lung | легке
die Leber | liver | печінка
der Magen | stomach | шлунок
die Niere | kidney | нирка
die Därme; mpl | intestines | кишечник
das Verdauungssystem | digestive system | травна система
das Atmungssystem | respiratory system | дихальна система
die Blase | bladder | сечовий міхур
das Blut | blood | кров
das Gelenk | joint | суглоб
der Knochen | bone | кістка
der Muskel | muscle | м'яз
die Sehne | tendon | сухожилля
das Gewebe | tissue | тканина
das Band | ligament | зв'язка
die Zelle | cell | клітина
der Nerv | nerve | нерв
die Arterie | artery | артерія
die Vene | vein | вена
der Sauerstoff | oxygen | кисень

der Schädel | skull | череп
das Schlüsselbein | collarbone | ключиця
die Wirbelsäule; fpl | vertebrae | хребці
der Humerus | humerus | плечова кістка
das Brustbein | breastbone | грудина
die Rippen; fpl | ribs | ребра
die Wirbelsäule | spine | хребет
die Elle | ulna | лікоть
der Radius | radius | радіус
das Becken | pelvis | таз
der Femur | femur | стегнова кістка
die Kniescheibe | kneecap | колінна чашечка
das Wadenbein | fibula | малогомілкова кістка
das Schienbein | tibia | гомілка

		die verletzung | injury
die verletzung | injury | травма

der Sanitäter | paramedic | фельдшер
die Sanitäterin | paramedic | фельдшер
der Unfall | accident | нещасний випадок
die Gehirnerschütterung | concussion | струс мозку
der Sturz | fall | падіння
die Verrenkung | dislocation | вивих
die Verstauchung | sprain | розтягнення
die Narbe | scar | шрам
das Schleudertrauma | whiplash | удар хлистом
die Schwellung | swelling | набряк
die stabile Seitenlage | recovery position | положення відновлення
die HLW | CPR | серцево-легенева реанімація
bewusstlos sein | to be unconscious | бути без свідомості
sich verletzen | to injure oneself | поранити себе
fallen | to fall | впасти
sich den Arm brechen | to break one's arm | зламати руку

die Blase | blister | сечовий міхур
der blaue Fleck | bruise | синяк
die Verbrennung | burn | опік
die Schnittverletzung | cut | поріз
der Bruch | fracture | перелом
die Schürfwunde | graze | подряпина
der Splitter | splinter | заноза
der Stich | sting | жало
der Sonnenbrand | sunburn | сонячний опік

der Verband | bandage | бинт
die Wundauflage | dressing | ранова пов'язка
der Verbandskasten | first-aid kit | аптечка першої допомоги
der Eisbeutel | ice pack | пакет з льодом
die Halskrause | neck brace | шийний бандаж
die Salbe | ointment | мазь
das Pflaster | plaster | пластир
die Schlinge | sling | канат
die Pinzette | tweezers | пінцет

		die krankheit | illness
die krankheit | illness | захворювання

der Herzinfarkt | heart attack | серцевий напад
der Schlaganfall | stroke | інсульт
die Infektion | infection | інфекція
die Ohrenentzündung | ear infection | вушна інфекція
das Virus | virus | вірус
die Erkältung | cold | застуда
die Grippe | flu | грип
die Windpocken; fpl | chicken pox | вітрянка
das Magen­DarmProblem | stomach bug | проблема шлунково-кишкового тракту
die Lebensmittelvergiftung | food poisoning | харчове отруєння
das Erbrechen | vomiting | блювота
der Durchfall | diarrhoea | діарея
die Verstopfung | constipation | запор
der Diabetes | diabetes | діабет
die Epilepsie | epilepsy | епілепсія
das Asthma | asthma | астма
die Schwindligkeit | dizziness | запаморочення
der Inhalator | inhaler | інгалятор
die Regelschmerzen; mpl | period pain | менструальний біль
hohen / niedrigen Blutdruck haben | to have high / low blood pressure | мати високий / низький артеріальний тиск
husten | to cough | кашляти
niesen | to sneeze | чхати
sich übergeben | to vomit | рвати
in Ohnmacht fallen | to faint | непритомніти
das Husten | coughing | кашель
der Ohnmachtsanfall | fainting | непритомність
das Fieber | fever | лихоманка
der Juckreiz | itching | свербіж
die Übelkeit | nausea | нудота
der Ausschlag | rash | висип
eine laufende Nase | runny nose | нежить
das Niesen | sneezing | чхання

		beim arzt | the doctor's surgery
beim arzt | the doctor's surgery | у лікаря

der Termin | appointment | призначення
die Klinik | clinic | клініка
die Untersuchung | examination | обстеження
der Test | test | тест
die Antibiotika; ntpl | antibiotics | антибіотики
die Pille | the pill | таблетка
die Schlaftablette | sleeping pill | снодійне
das Rezept | prescription | рецепт
der Hausbesuch | home visit | візит додому
die Impfung | vaccination | щеплення
die Medikamente; ntpl | medication | ліки
einen Termin vereinbaren | to make an appointment | записатися на прийом
untersuchen | to examine | перевірити
Medikamente einnehmen | to be on medication | приймати ліки
das Blutdruckmessgerät | blood pressure monitor | тонометр
der Untersuchungsraum | examination room | кабінет для обстеження
der Untersuchungstisch | examination table | оглядовий стіл
der Hausarzt | the general practitioner | сімейний лікар
die Hausärztin | the general practitioner | сімейний лікар
der Arzthelfer | practice nurse | помічник лікаря
die Arzthelferin | practice nurse | помічник лікаря
das Stethoskop | stethoscope | стетоскоп
die Spritze | syringe | шприц
das Thermometer | thermometer | термометр
